User Site ID	NASIS Group Name	obsYear	obsMonth	obsDAY	Current Taxon Name	Current Taxonomic Class	Std Latitude	Std Longitude
96MI101009	12-GRR Points	1996	10	3	Jebavy	Sandy, mesic Typic Duraquods	44.441575	-85.9565194
D95MI019003	12-GRR Points	1995	6	1	Dair	Mixed Typic Psammaquents	44.6095278	-85.8672222
1996MI019005	12-GRR Points	1996	6	21	Grattan	Sandy, mixed, mesic Entic Haplorthods	44.5844444	-85.9930556
D96MI101002	12-GRR Points	1996	9	3	Dair	Sandy, mixed Histic Humaquepts	44.4263889	-85.9400833
D96MI101003	12-GRR Points	1996	9	3	Dair	Mixed Typic Psammaquents	44.4266944	-85.9670556
1996MI101204	12-GRR Points	1996	6	18	Brethren	Sandy, mixed Oxyaquic Haplorthods	44.4509167	-85.9664167
D96MI101005	12-FLI Points	1996	6	20	Boyer	Coarse-loamy, mixed Typic Hapludalfs	44.4362417	-85.8575528
D96MI101007	12-GRR Points	1996	6	18	Saugatuck	Sandy, mixed, ortstein Typic Endoaquods	44.4484167	-85.9656111
1996MI101008	12-GRR Points	1996	6	18	Houghton	Euic, mesic Typic Haplosaprists	44.4531111	-85.991
D96MI101001	12-GRR Points	1996	9	2	Dair	Mixed Typic Psammaquents	44.4338056	-85.9617222
94IN039003	12-GRR Points	1994	10	24				
1977OH173001	12-FLI Points	1998	7	13	Latty	Fine, illitic, nonacid Aquepts	41.6322639	-83.2734694
1988OH125001	12-FLI Points	1988	5	10	Latty	Fine, illitic Aquepts		
1988OH125002	12-FLI Points	1988	4	21	Latty	Fine, illitic Aquepts	41.1909139	-78.6585639
1988OH125003	12-FLI Points	1988	10	6	Latty	Fine, illitic Aquepts	41.0777583	-78.59435
1988OH125005	12-FLI Points	1988	5	5	Lenawee	Fine, mixed, semiactive, nonacid, mesic Mollic Epiaquepts	41.1633639	-84.4354722
1988OH125004	12-FLI Points	1988	10	5	Lenawee	Fine, illitic Aquepts	41.2319556	-84.7967778
1988OH125006	12-FLI Points	1988	10	5	Lenawee	Fine, illitic Aquepts	41.2242417	-84.7970972
1988OH125007	12-FLI Points	1988	10	5	Lenawee	Fine, illitic Aquepts	41.2320889	-84.7975139
1988OH125008	12-FLI Points	1988	10	19	Lenawee	Fine, illitic Aquepts	41.2319556	-84.7967778
1989OH125002	12-FLI Points	1989	4	13	Lenawee	Fine, mixed, nonacid Aquepts	41.0767667	-84.3795083
1989OH125003	12-FLI Points	1989	5	24	Lenawee	Fine, illitic Aquepts	41.2495472	-84.7647528
1989OH125004	12-FLI Points	1989	4	11	Lenawee	Fine, illitic Aquepts	41.2489306	-84.7647278
S1990IN039006	12-GRR Points	1990	9	1	Maumee	Sandy, mixed, mesic Typic Endoaquolls	41.7377777	-85.9283371
S1990IN039006	12-GRR Points	1990	9	1	Maumee	Coarse-loamy, mixed, superactive, mesic Typic Endoaquolls	41.7377777	-85.9283371
F2006MI121001	12-GRR Points	2006	6	16	Perrinton	Fine, mixed, active, mesic Oxyaquic Glossudalfs	43.4714722	-86.4268056
F2006MI121001	12-GRR Points	2006	6	19			43.4714722	-86.4268056
F2006MI121004	12-GRR Points	2006	10	3	Plainfield	Isotic, mesic Typic Udipsamments	43.4296111	-86.2398611
F2006MI121004	12-GRR Points	2006	10	4			43.4296111	-86.2398611
F2006MI121003	12-GRR Points	2006	8	9	Platteriver	Mixed, mesic Oxyaquic Udipsamments	43.366	-86.1202778
F2006MI121003	12-GRR Points	2006	10	12			43.366	-86.1202778
F2006MI121008	12-GRR Points	2006	10	20			43.4463611	-86.2296111
F2006MI121008	12-GRR Points	2006	10	11	SND	Isotic, mesic Lamellic Udipsamments	43.4463611	-86.2296111
NAMI139001	12-GRR Points	2006	11	15	Perrinton	Coarse-loamy, mixed, active, mesic Oxyaquic Glossudalfs		
NAMI139002	12-GRR Points	2006	11	16	Wallkill	Fine-loamy, mixed, superactive, nonacid, mesic Fluvaquentic Humaquepts		
NAMI139003	12-GRR Points	2006	11	16	Wallkill	Fine-loamy, mixed, superactive, nonacid, mesic Fluvaquentic Humaquepts		
NAMI139005	12-GRR Points	2006	11	17	Benona	Sandy, mixed, mesic Lamellic Haplorthods		
NAMI139006	12-GRR Points	2006	11	20	SND	Fine-loamy, mixed, semiactive, mesic Mollic Oxyaquic Hapludalfs		
NAMI139007	12-GRR Points	2006	11	20	Alexandria	Fine, mixed, mesic Oxyaquic Hapludalfs		
NAMI139008	12-GRR Points	2006	11	21	Tuscola	Fine-loamy, mixed, active, mesic Aquic Hapludalfs		
