"PlotPlant_ID"	"Observation_ID"	"AcTaxon"	"Genus"	"specific_epithet"	"subsp"	"var"	"Module"	"Submodule"	"Habit"	"Field"	"f1"	"f2"	"f3"	"Shrub"	"s1"	"s2"	"s3"	"Subcanopy"	"scf"	"scs1"	"scs2"	"scs3"	"sct1"	"sct2"	"sct3"	"Tree"	"tf"	"ts1"	"ts2"	"ts3"	"t1"	"t2"	"t3"	"t4"	"diam10cmCount"	"hourstamp"	"Transect_Position"	"BA"	"Biomass"	"Fmin"	"Fmax"	"Smin"	"Smax"	"SCmin"	"SCmax"	"Tmin"	"Tmax"	"Original_Field"	"Original_Shrub"	"Original_Subcanopy"	"Original_Tree"	"Dmin"	"Dmax"	"Hmin"	"Hmax"
"GRR.2011.GJS.1.All.All.Acer.negundo.."	"GRR.2011.GJS.1"	"Acer negundo"	"Acer"	"negundo"			"All"	"All"	"TBD2"	0.00	0	0	0	0.20	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										0.00	0.20	0.00	0.00				
"GRR.2011.GJS.1.All.All.Acer.saccharinum.."	"GRR.2011.GJS.1"	"Acer saccharinum"	"Acer"	"saccharinum"			"All"	"All"	"TBD2"	0.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	41.64	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										0.00	0.00	0.00	20.00				
"GRR.2011.GJS.1.All.All.Anemone.canadensis.."	"GRR.2011.GJS.1"	"Anemone canadensis"	"Anemone"	"canadensis"			"All"	"All"	"HF2"	1.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										1.00	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Arisaema.dracontium.."	"GRR.2011.GJS.1"	"Arisaema dracontium"	"Arisaema"	"dracontium"			"All"	"All"	"HF2"	1.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										1.00	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Boehmeria.cylindrica.."	"GRR.2011.GJS.1"	"Boehmeria cylindrica"	"Boehmeria"	"cylindrica"			"All"	"All"	"HF2"	1.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										1.00	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Carex.davisii.."	"GRR.2011.GJS.1"	"Carex davisii"	"Carex"	"davisii"			"All"	"All"	"HGC2"	1.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011070816.00	0.00	0.00										1.00	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Carex.grayi.."	"GRR.2011.GJS.1"	"Carex grayi"	"Carex"	"grayi"			"All"	"All"	"HGC2"	0.50	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011070817.00	0.00	0.00										0.50	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Carex.intumescens.."	"GRR.2011.GJS.1"	"Carex intumescens"	"Carex"	"intumescens"			"All"	"All"	"HGC2"	0.50	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										0.50	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Carya.cordiformis.."	"GRR.2011.GJS.1"	"Carya cordiformis"	"Carya"	"cordiformis"			"All"	"All"	"TBD2"	0.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	32.45	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										0.00	0.00	0.00	15.00				
"GRR.2011.GJS.1.All.All.Celtis.occidentalis.."	"GRR.2011.GJS.1"	"Celtis occidentalis"	"Celtis"	"occidentalis"			"All"	"All"	"TBD2"	0.00	0	0	0	0.20	0	0	0	0.00	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										0.00	0.20	0.00	0.20				
"GRR.2011.GJS.1.All.All.Cryptotaenia.canadensis.."	"GRR.2011.GJS.1"	"Cryptotaenia canadensis"	"Cryptotaenia"	"canadensis"			"All"	"All"	"HF2"	0.20	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011070816.00	0.00	0.00										0.20	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Dioscorea.villosa.."	"GRR.2011.GJS.1"	"Dioscorea villosa"	"Dioscorea"	"villosa"			"All"	"All"	"HFV2"	0.20	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011070815.00	0.00	0.00										0.20	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Equisetum.hyemale.."	"GRR.2011.GJS.1"	"Equisetum hyemale"	"Equisetum"	"hyemale"			"All"	"All"	"HFE"	1.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										1.00	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Galium.obtusum.."	"GRR.2011.GJS.1"	"Galium obtusum"	"Galium"	"obtusum"			"All"	"All"	"HF2"	0.20	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										0.20	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Geum.laciniatum.."	"GRR.2011.GJS.1"	"Geum laciniatum"	"Geum"	"laciniatum"			"All"	"All"	"HF2"	1.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										1.00	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.-grass-..."	"GRR.2011.GJS.1"	"-grass-"	"-grass-"				"All"	"All"	"HG"	20.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071118.00	0.00	0.00										20.00	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Iris.virginica.."	"GRR.2011.GJS.1"	"Iris virginica"	"Iris"	"virginica"			"All"	"All"	"HF2"	0.20	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011070815.00	0.00	0.00										0.20	0.00	0.00	0.00				
"GRR.2011.GJS.1.All.All.Juglans.nigra.."	"GRR.2011.GJS.1"	"Juglans nigra"	"Juglans"	"nigra"			"All"	"All"	"TBD2"	0.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.48	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										0.00	0.00	0.00	0.20				
"GRR.2011.GJS.1.All.All.Laportea.canadensis.."	"GRR.2011.GJS.1"	"Laportea canadensis"	"Laportea"	"canadensis"			"All"	"All"	"HF2"	30.00	0	0	0	0.00	0	0	0	0.00	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0		2011071117.00	0.00	0.00										30.00	0.00	0.00	0.00				
