Observation_Label	Observation_Type	Latitude	Longitude	Year	Mon	Day	State	County
Ionia County RCA Site	Low Intensity Plot: Cover	42.95241667	-85.15947222	2011	06	20	Michigan	Ionia County
Newaygo County	Low Intensity Plot: Cover	43.62458333	-85.94636111	2011	06	30	Michigan	Newaygo County
Barry County -Tenkink woods	Community	42.48388889	-85.23583333	2011	07	14	Michigan	Barry County
Barry County - Houghton swamp	Low Intensity Plot: Cover	42.48694444	-85.23861111	2011	07	14	Michigan	Barry County
Allegan County RCA Site: Newton	Low Intensity Plot: Cover	42.67005555	-85.87130555	2011	07	15	Michigan	Allegan County
Ionia County Shallow Sandy Site 1	Low Intensity Plot: Cover	42.976749	-84.995823	2011	06	06	Michigan	Ionia County
Allegan County RCA Site: Morocco	Low Intensity Plot: Cover	42.5319	-86.0464	2011	06	07	Michigan	Allegan County
Van Buren County RCA Site	Low Intensity Plot: Cover	42.15855	-86.087391	2011	06	08	Michigan	Van Buren County
Lake County RCA Site	Community	43.900262	-85.898901	2011	06	09	Michigan	Lake County
Calhoun County County RCA Site	Low Intensity Plot: Cover	42.12333564	-84.92244495	2011	06	13	Michigan	Calhoun County
Mason County	Low Intensity Plot: Cover	44.02833333	-86.26888889	2011	06	23	Michigan	Mason County
Oceana County	Low Intensity Plot: Cover	43.73152778	-86.28838889	2011	07	19	Michigan	Oceana County
Berrien County	Community	42.02471667	-86.4531	2011	07	29	Michigan	Berrien County
Allegan County RCA Site: Oakville	Low Intensity Plot: Cover	42.55485278	-85.89639722	2011	08	10	Michigan	Allegan County
Coastal Plain Marsh 1	Low Intensity Plot: Cover	43.50021667	-85.792	2011	08	12	Michigan	Newaygo County
Coastal Plain Marsh 2	Low Intensity Plot: Cover	43.50321667	-85.80003333	2011	08	12	Michigan	Newaygo County
Manistee RCA Site: Benona	General	44.40833333	-86.18951667	2011	06	29	Michigan	Manistee County
Oceana RCA Site: Benona	Low Intensity Plot: Cover	43.6297741	-86.50968802	2011	07	12	Michigan	Oceana County
Ionia County Shallow Sandy Site 2	Soil	42.97744444	-84.99488889	2011	06	06	Michigan	Ionia County
Sand Dunes	General	43.127018	-86.273811	2011	09	28	Michigan	Muskegon County
Sandy Lake Plain	General	43.03411111	-86.10863889	2011	09	28	Michigan	Ottawa County
