Observatio	RASTERVALU
Ionia County RCA Site	187863
Newaygo County	186453
Barry County -Tenkink woods	186069
Barry County - Houghton swamp	186072
Allegan County RCA Site: Newton	212486
Ionia County Shallow Sandy Site 1	188187
Allegan County RCA Site: Morocco	212438
Van Buren County RCA Site	186304
Lake County RCA Site	190740
Calhoun County County RCA Site	188710
Mason County	192572
Oceana County	189084
Berrien County	186176
Allegan County RCA Site: Oakville	2689430
Coastal Plain Marsh 1	186448
Coastal Plain Marsh 2	186448
Manistee RCA Site: Benona	193255
Oceana RCA Site: Benona	189064
Ionia County Shallow Sandy Site 2	188187
Sand Dunes	2507495
Sandy Lake Plain	2507506
Sandy Outwash Plain	2507492
MM01.02	192685
S12042504	2689479
S12042505	2689478
S12042601	212426
S12050801	192678
S12051101	192710
S12051102	192706
S12051103	192710
S12051801	161354
S12052301	192668
S12052302	192667
MM01.A	192630
S12052401	2763241
S12052402	2763241
S12052403	2763240
S12053101	187112
S12060401	187121
S12060402	187913
S12060501	187112
S12060502	187191
S12060503	187191
S12061301	272697
MM01.01	192651
S12061302	618534
S12060701	186298
S12060702	186332
S12060703	186332
S12062501	186374
S12062502	186374
S12062503	186372
S12062504	186372
S12062801	212462
S12062802	212462
ML18.04	2689430
S12062901	212472
S12062902	212451
S12062903	212427
S12070201	186949
S12070202	186919
S12070203	186945
S12071301	186334
S12092504	186123
S12092601	192650
S12092602	192705
ML18.09	212438
S12092501	186081
S12092502	186081
S12092503	186079
S12092603	192701
S12092604	192701
S12090701	187380
S12090702	187155
S12090703	187155
S12091904	192667
S12092001	192674
S12042301	192667
S12092002	192674
S12091901	192667
S12091902	192667
S12091903	192667
S12082801	187366
S12071001	212433
S12071002	212456
S12071302	186334
S12071303	186334
S12071304	186320
S12042501	192667
S12061201	192649
S12050802	192678
S12050803	192678
MM11.02	186155
MM11.01	186155
S12042502	2507507
S12042503	2689478
Blandford Ravine	187102
S13070909	212438
S13070910	212438
S13070911	212438
S13070912	212438
S13071001	212438
S13071101	186521
S13071102	186505
S13071103	2689463
S13071104	2689438
S13071201	212438
S13070901	2689430
S13071202	212447
S13071203	212447
W14090809	192706
Kalamazoo4	187068
SI: red maple 01	212438
SI: pin oak 01	212438
SI: red oak & red maple 02	212438
SI: pin oak2 01	212438
W2015060903	192636
W2015061704	186249
S2015062501	187139
W2015062501	187100
W2015062502	187133
W2015062503	187196
W2015062504	187159
W2015062505	187139
W2015062506	187196
W2015062507	187147
W2015062508	187147
S2015060901	192732
DSP RF1	186072
DSP RF3	186374
DSP RF2	187112
Page Creek Fen	187112
S13071204	212447
S13071205	212438
S13071601	212438
S13071602	212438
S13071701	212438
S13071801	212438
S13072301	186521
S13072302	186521
S13070902	2689430
s13072901	272677
s13072902	272677
s13072903	272677
s13072904	272677
s13072905	272649
s13072906	3031105
s13072907	3031105
s13072908	3031105
s13072909	3031105
S13080701	272649
S13070903	212438
S13081201	3031105
S13070904	212438
S13070905	212438
S13070906	212438
S13070907	212438
S13070908	212438
S14060201	186352
S14060202	186190
S14061002	186519
S14061001	186519
S14060601	2507492
S14060602	2507492
S14061901	2689430
S14061902	2689430
S14062401	2689430
S14062501	2689430
Kalamazoo1	187068
S14062601	2689430
S14070202	2689430
S14070203	2689430
S14070201	2689430
S14071501	2689455
S14071502	2689455
S14071701	2507506
S14080601	2507507
W14081201	192741
S14081301	2507506
Kalamazoo2	187068
S14081302	2507506
S14081303	2507506
S14081304	2507491
S14081305	2507491
S14081306	2507491
W14081401	187214
W14081402	192646
W14081403	192646
W14081404	192646
W14090801	192649
Kalamazoo3	187068
W14090802	192649
W14090803	192636
W14090804	192668
W14090805	192668
W14090806	192668
W14090807	192706
W14090808	192678
Lamberton Lake Fen	187205
DSP RR1	187324
DSP ER2	186464
DSP ER1	186072
DSP ER3	186232
DSP RR2	187733
W2015060904	192673
DSP RR3	186232
W2015060905	192732
W2015060906	192673
S2015061701	3117294
W2015061701	186249
W2015061702	186249
W2015061703	3117294
2016MI067001	188110
2016MI067002	188113
2016MI067003	188108
