OBJECTID,Observatio,Observat_1,Latitude,Longitude,Year,Mon,Day,State,County,Slope_r12w,Aspect_r12,slopepos50,slopepos_1,r12w_dem
1,Manistee RCA Site: Benona,General,44.408333329999998,-86.189516670000003,2011,6,29,Michigan,Manistee County,4.6445265,45.0575676,0.4088616,0.1976195,256.8757935
2,GRR2,Temperature,44.370138900000001,-85.757111100000003,2019,6,26,Michigan,Wexford County,20.4663105,228.1930847,0.2889770,0.2583795,286.4701538
3,GRR1,Temperature,44.360277799999999,-85.679444399999994,2019,6,26,Michigan,Wexford County,4.8067212,156.9777069,0.7217663,0.7999759,501.6318970
4,2016MI165003,ELTP,44.230883329999997,-85.685733330000005,2016,9,21,Michigan,Wexford County,8.1097622,210.8537140,0.5409557,0.3807991,388.8354797
5,2016MI165001,ELTP,44.220233329999999,-85.700683330000004,2016,9,21,Michigan,Wexford County,2.4714854,84.3942947,0.5840024,0.7732340,360.7779541
6,2016MI165002,ELTP,44.220116670000003,-85.703050000000005,2016,9,21,Michigan,Wexford County,2.3106089,161.4539795,0.5282558,0.8789184,363.0183411
7,S2016MI105001,EPA,44.143433330000001,-86.317416670000000,2016,9,14,Michigan,Mason County,0.0000000,-1.0000000,0.5000000,0.1575283,200.9049988
8,2016MI105002,EPA,44.143083330000003,-86.317783329999997,2016,9,14,Michigan,Mason County,0.0000000,-1.0000000,0.5000000,0.1575283,200.9049988
9,s20191017.02,Soil,44.140883330000001,-84.312080559999998,2019,10,17,Michigan,Gladwin County,0.7175810,132.4972534,0.4714330,0.5018948,246.2481689
10,s20191010.01,Soil,44.105822220000000,-84.287947220000007,2019,10,10,Michigan,Gladwin County,1.0477329,216.2731323,0.5659017,0.5376344,238.8086090
11,Mason County,Low Intensity Plot: Cover,44.028333330000002,-86.268888889999999,2011,6,23,Michigan,Mason County,0.9947010,340.8586121,0.6301227,0.2738629,206.8200378
12,s20191010.02,Soil,44.040675000000000,-84.279644439999998,2019,10,10,Michigan,Gladwin County,0.4254737,126.4698944,0.3736037,0.3447581,229.9908752
13,Lake County RCA Site,Community,43.900261999999998,-85.898900999999995,2011,6,9,Michigan,Lake County,0.6394703,261.0779419,0.5518208,0.3978975,252.2243042
14,s20191017.01,Soil,43.907469440000000,-84.245544440000003,2019,10,17,Michigan,Gladwin County,1.1002399,319.3455811,0.4784866,0.4392363,222.5983276
15,Oceana County,Low Intensity Plot: Cover,43.731527780000000,-86.288388889999993,2011,7,19,Michigan,Oceana County,0.2471366,314.8374023,0.3976400,0.0925854,205.6437073
16,2016MI107001,Low Intensity Plot: Cover,43.707166669999999,-85.280349999999999,2016,10,5,Michigan,Mecosta County,8.1566219,234.5611267,0.1786026,0.2203702,315.4766846
17,2016MI107002,Low Intensity Plot: Cover,43.706216670000003,-85.282016670000004,2016,10,5,Michigan,Mecosta County,4.1587877,175.6540680,0.4052267,0.0870398,312.7358704
18,GRR5,Temperature,43.681750000000001,-85.579972200000000,2019,6,26,Michigan,Newaygo County,0.8622449,22.8941498,0.8372944,0.7999543,401.0660095
19,Oceana RCA Site: Benona,Low Intensity Plot: Cover,43.629774099999999,-86.509688019999999,2011,7,12,Michigan,Oceana County,3.7178574,28.4114723,0.3057603,0.3459249,240.8196106
20,GRR6,Temperature,43.631000000000000,-85.772527800000006,2019,6,26,Michigan,Newaygo County,0.6694642,120.1025848,0.5128447,0.2501116,285.4819946
21,Newaygo County,Low Intensity Plot: Cover,43.624583330000000,-85.946361109999998,2011,6,30,Michigan,Newaygo County,0.8771018,164.5798035,0.4718867,0.6568035,240.5274048
22,DSP RR2,High Intensity Plot: Nested,43.544333330000001,-85.182183330000001,2015,8,14,Michigan,Mecosta County,0.9622870,332.1485291,0.5025159,0.1707997,315.0107422
23,Coastal Plain Marsh 1,Low Intensity Plot: Cover,43.500216670000000,-85.792000000000002,2011,8,12,Michigan,Newaygo County,1.6349938,12.8498316,0.5055243,0.1981550,253.4079437
