"cluster","Species","freq","count"
"1","Acer negundo",6.25,32
"1","Medeola virginiana",6.25,32
"1","Acer rubrum",21.875,32
"1","Mentha arvensis",18.75,32
"1","Acer saccharinum",25,32
"1","Milium effusum",3.125,32
"1","Actaea rubra",3.125,32
"1","Cyperus",3.125,32
"1","Cypripedium candidum",3.125,32
"1","Cypripedium parviflorum",3.125,32
"1","Alnus incana",6.25,32
"1","Amaranthus",3.125,32
"1","Myosoton aquaticum",3.125,32
"1","Ambrosia trifida",3.125,32
"1","Dryopteris carthusiana",6.25,32
"1","Amelanchier arborea",3.125,32
"1","Amphicarpaea bracteata",15.625,32
"1","Oenothera biennis",3.125,32
"1","Anemone canadensis",3.125,32
"1","Angelica atropurpurea",6.25,32
"1","Apios americana",12.5,32
"1","Aquilegia canadensis",3.125,32
"1","Aralia nudicaulis",9.375,32
"1","Eleocharis elliptica",6.25,32
"1","Arisaema triphyllum",12.5,32
"1","Asclepias incarnata",25,32
"1","Athyrium angustum",9.375,32
"1","Athyrium filix-femina",3.125,32
"1","Bartonia virginica",3.125,32
"1","Epilobium coloratum",15.625,32
"1","Berberis thunbergii",3.125,32
"1","Betula alleghaniensis",15.625,32
"1","Betula pumila",3.125,32
"1","Bidens",3.125,32
"1","Erigeron strigosus",3.125,32
"1","Bidens cernua",0,32
"1","Bidens frondosa",3.125,32
"1","Euthamia graminifolia",12.5,32
"1","Bidens tripartita",12.5,32
"1","Fagus grandifolia",3.125,32
"1","Boehmeria cylindrica",37.5,32
"1","Fallopia convolvulus",3.125,32
"1","Brachyelytrum erectum",3.125,32
"1","Bromus ciliatus",3.125,32
"1","Calamagrostis canadensis",15.625,32
"1","Caltha palustris",15.625,32
"1","Fraxinus pennsylvanica",28.125,32
"1","Cardamine",3.125,32
"1","Cardamine bulbosa",3.125,32
"1","Cardamine pratensis",3.125,32
"1","Carex",15.625,32
"1","Galium boreale",3.125,32
"1","Galium tinctorium",3.125,32
"1","Carex alata",3.125,32
"1","Carex bebbii",6.25,32
"1","Geum canadense",12.5,32
"1","Carex blanda",3.125,32
"1","Glyceria",3.125,32
"1","Carex brunnescens",3.125,32
"1","Carex comosa",15.625,32
"1","Carex cristatella",9.375,32
"1","Carex cryptolepis",3.125,32
"1","Carex diandra",3.125,32
"1","Carex flava",3.125,32
"1","Carex gracillima",3.125,32
"1","Ilex verticillata",18.75,32
"1","Carex hystericina",12.5,32
"1","Carex lacustris",28.125,32
"1","Proserpinaca palustris",3.125,32
"1","Carex lasiocarpa",3.125,32
"1","Carex leptalea",6.25,32
"1","Carex leptonervia",3.125,32
"1","Juncus brachycephalus",3.125,32
"1","Carex lurida",3.125,32
"1","Carex pellita",6.25,32
"1","Carex prairea",3.125,32
"1","Carex pseudocyperus",3.125,32
"1","Carex retrorsa",3.125,32
"1","Carex rosea",3.125,32
"1","Quercus rubra",9.375,32
"1","Carex seorsa",3.125,32
"1","Carex stipata",15.625,32
"1","Lathyrus palustris",3.125,32
"1","Carex stricta",25,32
"1","Carex trichocarpa",3.125,32
"1","Carex viridula",3.125,32
"1","Carex vulpinoidea",3.125,32
"1","Carpinus caroliniana",18.75,32
"1","Lemna minor",6.25,32
"1","Carya cordiformis",3.125,32
"1","Ribes hirtellum",3.125,32
"1","Lepidium campestre",3.125,32
"1","Liatris spicata",3.125,32
"1","Cephalanthus occidentalis",6.25,32
"1","Lilium michiganense",3.125,32
"1","Chamaedaphne calyculata",3.125,32
"1","Chara",6.25,32
"1","Chelone glabra",6.25,32
"1","Chelone obliqua",3.125,32
"1","Chrysosplenium americanum",3.125,32
"1","Cicuta bulbifera",3.125,32
"1","Cicuta maculata",9.375,32
"1","Lonicera maackii",3.125,32
