"phase","Stratum","Tree.min","Tree.max","Shrub.min","Shrub.max","Grass.min","Grass.max","Forb.min","Forb.max"
"1","f1",,,0.4,1,,,0,0.3
"1","f2",,,0.4,1,,,0,0.3
"1","f3",,,3,7,1.5,2,2,55
"1","s1",1,3.5,2.5,6,60,100,2,65
"1","s2",1,3.5,2,4.5,0.3,0.4,0,1.5
"1","t1",0.3,1.5,,,,,,
"2","f1",,,0,0,,,0,0
"2","f2",,,0,0,,,0,0
"2","f3",,,20,95,12,65,0,0
"2","s1",1,1,20,95,7,35,15,50
"2","s2",1,1,20,90,0,0,0,0
"3","f1",,,0,0,,,0,0
"3","f2",,,0,0,,,0,0
"3","f3",,,25,25,0.3,0.5,0.1,0.5
"3","s1",7,20,25,25,40,95,15,60
"3","s2",7,20,25,25,0,0,0,0
