"phase","Taxon","order","Plant.Symbol","Plant.Type","Nativity","Cover.Low","Cover.High","Canopy.Bottom","Canopy.Top"
"fen","Frangula alnus",1,"FRAL4","Tree","Introduced",1.5,5,0.1,0.5
"fen","Salix eriocephala",1,"SAER","Tree","Native",0.3,1,1,5
"fen","Salix petiolaris",1,"SAPE5","Tree","Native",0.3,1,1,5
"fen","Juniperus virginiana",1,"JUVI","Tree","Native",0.2,1,1,5
"fen","Frangula alnus",1,"FRAL4","Tree","Introduced",0.1,1,1,5
"fen","Dasiphora fruticosa",3,"DAFR6","Shrub/Subshrub","Native",5,85,0.5,1
"fen","Dasiphora fruticosa",3,"DAFR6","Shrub/Subshrub","Native",0.4,10,0,0.3
"fen","Rhamnus alnifolia",3,"RHAL","Shrub/Subshrub","Native",0.3,1,0.5,1
"fen","Cornus obliqua",3,"COOB9","Shrub/Subshrub","Native",0.1,0.2,0.5,2
"fen","Cornus racemosa",3,"CORA6","Shrub/Subshrub","Native",0,0,0.1,0.3
"fen","Carex lasiocarpa",5,"CALA11","Grass/grass-like (Graminoids)","Native",15,40,0.4,1
"fen","Schoenoplectus pungens",5,"SCPU10","Grass/grass-like (Graminoids)","Native",5,15,0.4,1
"fen","Carex pellita",5,"CAPE42","Grass/grass-like (Graminoids)","Native",3,10,0.1,0.5
"fen","Eleocharis palustris",5,"ELPA3","Grass/grass-like (Graminoids)","Native",1.5,4,0.3,0.5
"fen","Carex hystericina",5,"CAHY4","Grass/grass-like (Graminoids)","Native",1,4,0.3,0.5
"fen","Schoenoplectus acutus",5,"SCAC3","Grass/grass-like (Graminoids)","Native",0.5,1.5,0.5,1.5
"fen","Carex leptalea",5,"CALE10","Grass/grass-like (Graminoids)","Native",0.3,1,0.2,0.4
"fen","Cladium mariscoides",5,"CLMA","Grass/grass-like (Graminoids)","Native",0.3,1,0.4,1
"fen","Eleocharis elliptica",5,"ELEL4","Grass/grass-like (Graminoids)","Native",0.3,1,0.1,0.3
"fen","Juncus dudleyi",5,"JUDU2","Grass/grass-like (Graminoids)","Native",0.3,1,0.1,0.5
"fen","Juncus brachycephalus",5,"JUBR2","Grass/grass-like (Graminoids)","Native",0.2,0.5,0.2,0.4
"fen","Juncus nodosus",5,"JUNO2","Grass/grass-like (Graminoids)","Native",0.2,0.5,0.4,1
"fen","Carex cryptolepis",5,"CACR9","Grass/grass-like (Graminoids)","Native",0.1,0.4,0.3,0.5
"fen","Glyceria striata",5,"GLST","Grass/grass-like (Graminoids)","Native",0.1,0.3,0.4,1
"fen","Typha angustifolia",5,"TYAN","Grass/grass-like (Graminoids)","Introduced",0.1,0.3,0.5,1
"fen","Carex flava",5,"CAFL4","Grass/grass-like (Graminoids)","Native",0.1,0.2,0.1,0.5
"fen","Rhynchospora capillacea",5,"RHCA11","Grass/grass-like (Graminoids)","Native",0.1,0.2,0.1,0.3
