"Observation_Label"	"Observation_Type"	"Latitude"	"Longitude"	"Year"	"Mon"	"Day"	"State"	"County"	"pedon"	"taxonname"	"taxonclass"	"pedondist"	"muname"
"2016IN087001"	"Low Intensity Plot: Cover"	41.75316667	-85.41283333	2016	8	18	"Indiana"	"LaGrange County"	"2016IN087001"	"Shipshe"	"Loamy-skeletal, mixed, superactive, mesic Typic Argiudolls"	0	"Shipshe sandy loam, 0 to 2 percent slopes"
"2016MI005001"	"Low Intensity Plot: Cover"	42.62631667	-85.71511667	2016	8	17	"Michigan"	"Allegan County"	"2016MI005001"	"Tekenink"	"Coarse-loamy, mixed, semiactive, mesic Typic Glossudalfs"	14.7	"Blount silt loam, 1 to 4 percent slopes"
"2016MI005002"	"Low Intensity Plot: Cover"	42.62728333	-85.71508333	2016	8	17	"Michigan"	"Allegan County"	"2016MI005002"	"Sebewa"	"Fine-loamy, mixed, active, mesic Typic Endoaqualfs"	4.9	"Capac-Marlette loams, 1 to 6 percent slopes"
"2016MI005003"	"Low Intensity Plot: Cover"	42.62685	-85.71316667	2016	8	17	"Michigan"	"Allegan County"	"2016MI005003"	"Giford"	"Sandy, mixed, active, mesic Oxyaquic Dystrudepts"	6.5	"Capac-Marlette loams, 1 to 6 percent slopes"
"2016MI005004"	"Low Intensity Plot: Cover"	42.62908333	-85.68271667	2016	8	25	"Michigan"	"Allegan County"	"2016MI005004"	"Brookston"	"Fine-loamy, mixed, active, mesic Typic Argiaquolls"	5.2	"Blount silt loam, 1 to 4 percent slopes"
"2016MI005005"	"Low Intensity Plot: Cover"	42.6278	-85.68375	2016	8	25	"Michigan"	"Allegan County"	"2016MI005005"	"Pipestone"	"Sandy, mixed, mesic, ortstein Aquic Haplorthods"	8.7	"Blount silt loam, 1 to 4 percent slopes"
"2016MI005006"	"Low Intensity Plot: Cover"	42.62843333	-85.6846	2016	8	25	"Michigan"	"Allegan County"	"2016MI005006"	"Tuscola"	"Fine-loamy, mixed, active, mesic Aquic Hapludalfs"	6.1	"Blount silt loam, 1 to 4 percent slopes"
"2016MI005007"	"Low Intensity Plot: Cover"	42.62736667	-85.68708333	2016	8	25	"Michigan"	"Allegan County"	"2016MI005007"	"Tuscola"	"Fine-loamy, mixed, active, mesic Aquic Hapludalfs"	10.6	"Colwood silt loam"
"2016MI005008"	"Low Intensity Plot: Cover"	42.62776667	-85.68558333	2016	8	25	"Michigan"	"Allegan County"	"2016MI005008"	"Tuscola"	"Fine-loamy, mixed, active, mesic Mollic Oxyaquic Hapludalfs"	17.3	"Capac loam, Lake Michigan lobe, 0 to 4 percent slopes"
"2016MI023001"	"Low Intensity Plot: Cover"	41.97513333	-85.06153333	2016	7	27	"Michigan"	"Branch County"	""	""	""	5624.5	"Fox sandy loam, 2 to 6 percent slopes"
"2016MI023002"	"Low Intensity Plot: Cover"	41.87676667	-85.0609	2016	7	27	"Michigan"	"Branch County"	"2016MI023001"	"Hatmaker"	"Fine-loamy, mixed, mesic Oxyaquic Glossudalfs"	4.8	"Barry loam, 0 to 2 percent slopes"
