"clust","element_global_id","scientificname"
"1","689615","Phalaris arundinacea Eastern Ruderal Marsh"
"2","687038","Dasiphora fruticosa ssp. floribunda / Carex interior - Carex flava - Sarracenia purpurea Fen"
"3","686803","Carex comosa - Carex decomposita - Dulichium arundinaceum - Lycopus rubellus Marsh"
"4","686567","Dactylis glomerata - Phleum pratense - Festuca spp. - Solidago spp. Ruderal Meadow"
"5","686190","Cornus sericea - Salix spp. - (Rosa palustris) Shrub Swamp"
"6","685222","Fagus grandifolia - Acer saccharum Glaciated Midwest Forest"
"7","687841","Fagus grandifolia - Acer saccharum - Quercus bicolor - Acer rubrum Flatwoods Forest"
"8","688421","Acer (rubrum, saccharinum) - Fraxinus spp. - Ulmus americana Swamp Forest"
"9","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"10","686869","Cephalanthus occidentalis / Carex spp. Northern Shrub Swamp"
"11","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"12","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"13","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"14","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
"15","686814","Acer saccharinum - Fraxinus pennsylvanica - Ulmus americana Floodplain Forest"
