"","1","2","3","4","5","6","7","8"
"Acer.negundo",17,0,0,30,0,0,17,0
"Acer.rubrum",0,40,11,30,0,0,0,100
"Acer.saccharinum",33,40,78,50,25,0,33,17
"Ageratina.altissima",0,0,0,20,0,0,0,0
"Alliaria.petiolata",0,0,0,30,0,0,0,0
"Alnus.incana",0,0,0,0,0,0,0,33
"Ambrosia.trifida",0,0,0,20,0,0,17,0
"Amphicarpaea.bracteata",0,20,0,20,0,0,17,50
"Anemone.canadensis",0,0,0,0,25,0,0,0
"Angelica.atropurpurea",0,0,0,0,50,0,0,0
"Apios.americana",0,0,0,0,50,0,0,33
"Aralia.nudicaulis",0,0,0,0,0,0,0,50
"Arctium.minus",0,0,0,30,0,0,0,0
"Arisaema.triphyllum",0,20,0,0,0,0,0,50
"Asclepias.incarnata",0,0,11,0,25,50,50,17
"Athyrium.angustum",0,20,0,0,0,0,0,33
"Betula.alleghaniensis",0,40,0,0,0,0,0,67
"Bidens.frondosa",0,0,22,30,0,0,17,0
"Bidens.tripartita",17,20,11,10,0,0,17,17
"Boehmeria.cylindrica",67,20,78,10,0,17,33,67
"Bromus.ciliatus",0,0,0,0,25,0,0,0
"Calamagrostis.canadensis",17,0,0,0,75,0,17,0
"Caltha.palustris",0,0,0,0,25,0,0,67
"Campanulastrum.americanum",0,0,0,20,0,0,0,0
"Carex.bebbii",0,0,33,0,0,0,33,0
"Carex.brunnescens",0,0,0,0,25,0,0,0
"Carex.comosa",0,0,0,0,25,0,0,67
"Carex.cristatella",0,0,0,0,0,0,33,17
"Carex.grayi",0,0,0,20,0,0,0,0
"Carex.hystericina",0,0,0,0,25,17,17,17
"Carex.lacustris",33,60,11,0,0,0,50,17
"Carex.lupulina",0,0,22,0,0,0,0,0
"Carex.lurida",0,20,0,0,0,0,0,0
"Carex.pellita",0,0,0,0,25,0,0,0
"Carex.prairea",0,0,0,0,25,0,0,0
"Carex.rosea",0,0,0,20,0,0,0,17
"Carex.stipata",0,0,0,20,25,0,17,50
"Carex.stricta",0,0,0,0,100,17,50,0
"Carex.trichocarpa",0,0,0,0,25,0,0,0
"Carpinus.caroliniana",0,60,11,0,0,0,0,50
"Carya.cordiformis",0,0,11,20,0,0,0,0
"Celtis.occidentalis",0,0,0,30,0,0,0,0
"Cephalanthus.occidentalis",17,20,67,0,0,0,0,0
"Chara",0,0,0,0,0,33,0,0
"Chelone.glabra",0,0,0,0,0,0,0,33
"Chelone.obliqua",0,0,0,0,25,0,0,0
"Chrysosplenium.americanum",0,20,0,0,0,0,0,0
"Cicuta.maculata",0,0,11,0,25,0,0,33
"Cinna.arundinacea",17,0,0,30,0,0,17,17
"Circaea.canadensis",0,0,0,10,0,0,17,33
"Cirsium.arvense",0,0,0,0,0,0,50,0
"Cirsium.muticum",0,0,0,0,25,17,0,17
"Clematis.virginiana",0,20,0,0,0,0,17,17
"Coptis.trifolia",0,0,0,0,0,0,0,33
"Cornus.alba",0,0,0,0,25,17,33,0
"Cornus.obliqua",33,40,0,0,25,0,17,17
"Cornus.racemosa",0,20,0,20,75,17,33,33
"Cryptotaenia.canadensis",0,20,0,10,0,0,0,33
"Dasiphora.fruticosa",0,0,0,0,25,17,0,0
"Doellingeria.umbellata",0,20,0,0,0,0,0,17
"Dryopteris.carthusiana",0,0,33,10,0,0,0,33
"Dryopteris.cristata",0,0,0,0,0,0,0,33
"Eleocharis.elliptica",0,0,0,0,0,33,0,0
"Eleocharis.palustris",0,0,0,0,0,17,33,0
"Elymus.hystrix",0,0,0,40,0,0,0,17
"Elymus.trachycaulus",0,0,0,0,25,0,0,0
"Epilobium.coloratum",0,40,11,0,0,0,50,0
"Equisetum.fluviatile",0,20,0,0,0,0,17,17
"Erigeron.canadensis",0,0,0,0,0,0,33,0
"Eupatorium.perfoliatum",17,40,0,0,75,33,83,33
"Euthamia.graminifolia",0,0,0,0,0,0,67,0
"Eutrochium.maculatum",33,40,0,0,75,33,100,17
"Frangula.alnus",0,0,11,0,25,17,0,33
"Fraxinus.nigra",0,40,0,0,25,0,0,50
"Fraxinus.pennsylvanica",33,80,44,40,0,0,0,33
"Galium.aparine",0,0,0,10,25,0,17,67
"Galium.boreale",0,0,0,0,25,0,0,0
"Geum.aleppicum",0,0,0,0,0,0,33,0
"Geum.canadense",0,0,0,60,0,0,17,33
