"","peiid","User.Site.ID","siteiid","site_id","obs_date","utmzone","utmeasting","utmnorthing","x","y","horizdatnm","Std.Longitude","Std.Latitude","gpspositionalerror","describer","pedonpurpose","pedontype","pedlabsampnum","labdatadescflag","tsectstopnum","tsectinterval","utransectid","tsectkind","tsectselmeth","elev_field","slope_field","aspect_field","plantassocnm","earthcovkind1","earthcovkind2","erocl","bedrckdepth","bedrckkind","bedrckhardness","hillslopeprof","geomslopeseg","shapeacross","shapedown","slopecomplex","drainagecl","geomposhill","geomposmntn","geomposflats","slope_shape","classdate","classifier","classtype","Current.Taxon.Name","localphase","taxonkind","seriesstatus","taxpartsize","taxorder","taxsuborder","taxgrtgroup","taxsubgrp","soiltaxedition","osdtypelocflag","taxmoistcl","taxtempregime","taxfamother","psctopdepth","pscbotdepth","selection_method","ecositeid","ecositenm","ecositecorrdate","es_classifier","es_selection_method","argillic.horizon","ochric.epipedon","albic.horizon","spodic.horizon","ortstein","duripan","cambic.horizon","paralithic.contact","lithic.contact","aquic.conditions","redox.concentrations","reduced.matrix","anthropic.epipedon","mollic.epipedon","sapric.soil.materials","marl","limnic.materials","endosaturation","redox.depletions.with.chroma.2.or.less","natric.horizon","mottles.with.chroma.2.or.less","densic.materials","histic.epipedon","umbric.epipedon","agric.horizon","glossic.horizon","coprogenous.earth","fragipan","lamellae","calcic.horizon","densic.contact","free.carbonates","lithologic.discontinuity","interfingering.of.albic.materials","fibric.soil.materials","secondary.carbonates","hemic.soil.materials","albic.materials","episaturation","abrupt.textural.change","fragic.soil.properties","placic.horizon","strongly.contrasting.particle.size.class","human.transported.material","artifacts","resistant.minerals","sulfidic.materials","sulfuric.horizon","weatherable.minerals","surface_fgravel","surface_gravel","surface_cobbles","surface_stones","surface_boulders","surface_channers","surface_flagstones","surface_paragravel","surface_paracobbles","landform_string","pmkind","pmorigin","Current.Taxonomic.Class","distance","distance2"
"17","35516","D96MI101002",35571,"D96MI101002",1996-09-03,16,NA,NA,-85.9400863647461,44.4263877868652,"NAD83",-85.9400833,44.4263889,NA,"EPJ, RWN, LKB","full pedon description","correlates to named soil",NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1996-09-03 00:00:00,NA,"sampled as","Dair",NA,NA,NA,"sandy","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,"aquic","mesic","not used",NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"outwash plain",NA,NA,"sandy, mesic, histic humaquepts",330413.159325184,1
"51","35704","94IN039003",101945,"S1994IN039003",1994-08-11,NA,NA,NA,-85.8527755737305,41.6949996948242,NA,-85.8527756,41.6949997,NA,NA,"laboratory sampling site","correlates to named soil","95P0247",0,NA,NA,NA,NA,NA,232.399993896484,1,NA,NA,NA,NA,NA,NA,NA,NA,"toeslope",NA,NA,NA,NA,"very poorly","base slope",NA,NA,NA,2013-04-12 00:00:00,NA,"correlated","Edwards",NA,"series","established","not used","histosols","saprists","haplosaprists","limnic haplosaprists","eleventh edition",0,"aquic","mesic","not used",NA,NA,"most recent",NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,"depression","organic, unspecified & marl","NA","mesic, limnic haplosaprists",127226.991065941,1
"88","36392","91OH041009",36448,"1991OH041009",1991-10-17,NA,NA,NA,-83.1633071899414,40.3643417358398,"NAD83",-83.1633028,40.3643444,NA,"Jenny, Glanville",NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-17 00:00:00,NA,"sampled as","Edwards",NA,NA,NA,NA,"histosols","saprists","medisaprists","limnic medisaprists",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,"organic, herbaceous material & lacustrine deposits & alluvium & organic, unspecified","NA & marl & mixed","mesic, limnic medisaprists",431206.200074255,1
"104","36415","92OH041010",36471,"1992OH041010",1992-02-24,NA,NA,NA,-83.1786956787109,40.4270515441895,"NAD83",-83.1786944,40.4270528,NA,"Jenny, Glanville",NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-02-24 00:00:00,NA,"sampled as","Edwards",NA,NA,NA,NA,"histosols","saprists","medisaprists","limnic medisaprists",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,"organic, herbaceous material & lacustrine deposits & organic, unspecified","NA & marl","mesic, limnic medisaprists",427423.339542435,1
"136","36467","92OH041065",36523,"1992OH041065",1992-09-01,NA,NA,NA,-83.1600952148438,40.3573303222656,"NAD83",-83.1600917,40.3573306,NA,"Jenny, Glanville","full pedon description",NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-04-03 17:45:17,NA,"correlated","Edwards",NA,NA,NA,"not used","histosols","saprists","medisaprists","limnic medisaprists",NA,0,NA,"mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,"organic, unspecified & lacustrine deposits & organic, herbaceous material & outwash","NA & marl & mixed","mesic, limnic medisaprists",431780.609484975,1
"142","36476","1992OH063005",36532,"1992OH063005",1992-10-13,NA,NA,NA,-83.4473114013672,41.0184555053711,"NAD83",-83.4473139,41.0184556,NA,"RAR, MMF","full pedon description","representative pedon for component",NA,0,NA,NA,NA,NA,NA,244,0,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,2012-04-24 14:16:50,NA,"correlated","Adrian",NA,"series",NA,"sandy","histosols","saprists","medisaprists","terric medisaprists",NA,0,"udic","mesic",NA,NA,NA,"most recent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"outwash plain",NA,NA,"sandy, mesic, terric medisaprists",383729.248333842,1
"260","36675","1982OH065003",36731,"1982OH065003",1982-07-26,NA,NA,NA,-83.8091278076172,40.624870300293,"NAD83",-83.8091278,40.6248722,NA,"MMF/RAR","soil survey inventory","TUD pedon",NA,0,NA,NA,NA,NA,NA,296,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1982-07-26 00:00:00,NA,"sampled as","Linwood",NA,NA,NA,"loamy","histosols","saprists","medisaprists","terric medisaprists",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"lake plain","organic, unspecified & lacustrine deposits","NA","loamy, mesic, terric medisaprists",358289.155607118,1
"261","36676","1982OH065004",36732,"1982OH065004",1982-07-28,NA,NA,NA,-83.8079528808594,40.6779632568359,"NAD83",-83.8079472,40.6779667,NA,"MMF/RAR","soil survey inventory","TUD pedon",NA,0,NA,NA,NA,NA,NA,295,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1982-07-28 00:00:00,NA,"sampled as","Mcguffey",NA,NA,NA,"fine","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"lake plain","organic, unspecified & lacustrine deposits & lacustrine deposits","NA","fine, mesic, histic humaquepts",356567.282045417,1
"282","36702","1984OH065004",36758,"1984OH065004",1984-07-31,NA,NA,NA,-83.7535552978516,40.6674957275391,"NAD83",-83.7535528,40.6674972,NA,"MMF/RAR","full pedon description","TUD pedon",NA,0,NA,NA,NA,NA,NA,295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1984-07-31 00:00:00,NA,"sampled as","Pewamo",NA,NA,NA,"fine-loamy","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"lake plain","till, unspecified","NA","fine-loamy, mesic, histic humaquepts",362309.104236193,1
"287","36708","1985OH065003",36764,"1985OH065003",1985-08-20,NA,NA,NA,-83.7632446289062,40.7186851501465,"NAD83",-83.7632472,40.7186833,NA,"MMF/RAR","full pedon description","within range of map unit",NA,0,NA,NA,NA,NA,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"very poorly",NA,NA,NA,NA,1985-08-20 00:00:00,NA,"sampled as","Olentangy",NA,NA,NA,"fine-silty","inceptisols","aquepts","humaquepts","histic humaquepts",NA,0,NA,"mesic",NA,NA,NA,"single record",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"depression",NA,NA,"fine-silty, mesic, histic humaquepts",359664.435122066,1
