"Latitude","Longitude","Observation_ID","Observation_Label","Species","Habit","ESIS.Group","Simple","Field","Shrub","Subcanopy","Tree","Fmin","Fmax","Smin","Smax","SCmin","SCmax","Tmin","Tmax","Dmin","Dmax","BA","Total"
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Populus grandidentata","TBD2","Tree","Deciduous",0,0,0,93.4,,,,,,,14,20,16,23,22.9568411386593,93.3990660093399
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Acer rubrum","TBD2","Tree","Deciduous",1.3,10,17.5,5.9,0.1,0.5,1,5,5,15,5,17,,12,2.29568411386593,31.0387750273299
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Prunus serotina","TBD2","Tree","Deciduous",0.6,1.3,2.4,0,0.1,0.5,1,5,5,11,,,,,2.29568411386593,4.24674526279809
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Abies balsamea","TNE2","Tree","Evergreen",0,1.3,0,0,,,1,1.5,,,,,,,,1.29998700013
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Amelanchier arborea","TBD1","Tree","Deciduous",0.1,0.6,0,0,0.1,0.5,1,5,,,,,,,,0.699393012069816
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Fagus grandifolia","TBD2","Tree","Deciduous",0.1,0.1,0,0,0.1,0.5,1,5,,,,,,,,0.199898002019971
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Pteridium aquilinum","HFE","Fern/fern ally","Forb",6.6,0,0,0,0.5,1,,,,,,,,,,6.59993400065999
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Gaultheria procumbens","SBE1","Shrub/Subshrub","Evergreen",3.2,0,0,0,0,0.2,,,,,,,,,,3.19996800032
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Lysimachia borealis","HF2","Forb/Herb","Forb",3.2,0,0,0,0.1,0.6,,,,,,,,,,3.19996800032
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Maianthemum canadense","HF2","Forb/Herb","Forb",3.2,0,0,0,0.1,0.6,,,,,,,,,,3.19996800032
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Aralia nudicaulis","HF2","Forb/Herb","Forb",0.6,0,0,0,0.25,0.5,,,,,,,,,,0.59999400006
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Carex communis","HGC2","Grass/grass-like (Graminoids)","Graminoid",0.6,0,0,0,0.1,0.6,,,,,,,,,,0.59999400006
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Mitchella repens","HF2","Forb/Herb","Forb",0.6,0,0,0,0.05,0.1,,,,,,,,,,0.59999400006
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Poa","HGC","Grass/grass-like (Graminoids)","Graminoid",0.6,0,0,0,0.1,0.6,,,,,,,,,,0.59999400006
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Carex","HG","Grass/grass-like (Graminoids)","Graminoid",0.1,0,0,0,0.1,0.6,,,,,,,,,,0.0999990000099982
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Polygonatum pubescens","HF2","Forb/Herb","Forb",0.1,0,0,0,0.1,0.6,,,,,,,,,,0.0999990000099982
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Quercus rubra","TBD2","Tree","Deciduous",0.1,0,0,0,0.1,0.5,,,,,,,,,,0.0999990000099982
44.274568,-85.492115,"GRR.GJS.2022.1","s20220525.001","Vaccinium myrtilloides","SBD1","Shrub/Subshrub","Deciduous",0.1,0,0,0,0,0.3,,,,,,,,,,0.0999990000099982
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Acer rubrum","TBD2","Tree","Deciduous",0.5,0,0,88.2,0.1,0.5,,,,,10,20,21,59,27.5482093663912,88.2581218287376
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Fagus grandifolia","TBD2","Tree","Deciduous",0.1,2.7,57.6,0,0.1,0.5,1,5,2,10,,,,,,58.7854834689002
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Erythronium americanum","HF2","Forb/Herb","Forb",2.7,0,0,0,0.1,0.6,,,,,,,,,,2.69997300027
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Pteridium aquilinum","HFE","Fern/fern ally","Forb",2.7,0,0,0,0.75,1.5,,,,,,,,,,2.69997300027
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Dendrolycopodium obscurum","HFE","Fern/fern ally","Forb",0.5,0,0,0,0.1,0.2,,,,,,,,,,0.499995000050002
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Maianthemum canadense","HF2","Forb/Herb","Forb",0.5,0,0,0,0.1,0.6,,,,,,,,,,0.499995000050002
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Amelanchier arborea","TBD1","Tree","Deciduous",0.1,0,0,0,0.1,0.5,,,,,,,,,,0.0999990000099982
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Aralia nudicaulis","HF2","Forb/Herb","Forb",0.1,0,0,0,0.25,0.5,,,,,,,,,,0.0999990000099982
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Carex","HG","Grass/grass-like (Graminoids)","Graminoid",0.1,0,0,0,0.1,0.6,,,,,,,,,,0.0999990000099982
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Dryopteris carthusiana","HFE","Fern/fern ally","Forb",0.1,0,0,0,0.1,0.6,,,,,,,,,,0.0999990000099982
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Lysimachia borealis","HF2","Forb/Herb","Forb",0.1,0,0,0,0.1,0.6,,,,,,,,,,0.0999990000099982
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Osmundastrum cinnamomeum","HFE","Fern/fern ally","Forb",0.1,0,0,0,0.1,0.6,,,,,,,,,,0.0999990000099982
44.304617,-85.504775,"GRR.GJS.2022.2","s20220525.002","Prunus serotina","TBD2","Tree","Deciduous",0.1,0,0,0,0.1,0.5,,,,,,,,,,0.0999990000099982
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Acer rubrum","TBD2","Tree","Deciduous",0,0,0,66.8,,,,,,,13,20,8,34,16.0697887970615,66.7993320066799
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Populus tremuloides","TBD2","Tree","Deciduous",0,0,0,9.2,,,,,,,8,20,37,54,4.59136822773186,9.19990800091999
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Fagus grandifolia","TBD2","Tree","Deciduous",0,0,66.8,0,,,,,2,11,,,,,2.29568411386593,66.7993320066799
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Abies balsamea","TNE2","Tree","Evergreen",0,2.5,0,0,,,1,5,,,,,,,,2.49997500025
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Hamamelis virginiana","TBD1","Tree","Deciduous",0,1.3,0,0,,,1,5,,,,,,,,1.29998700013
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Pteridium aquilinum","HFE","Fern/fern ally","Forb",6.3,0,0,0,0.75,1.5,,,,,,,,,,6.29993700063
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Sphagnum","NB","Nonvascular","Nonvascular",6.3,0,0,0,0,0.05,,,,,,,,,,6.29993700063
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Vaccinium myrtilloides","SBD1","Shrub/Subshrub","Deciduous",6.3,0,0,0,0,0.3,,,,,,,,,,6.29993700063
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Maianthemum canadense","HF2","Forb/Herb","Forb",2.5,0,0,0,0.1,0.6,,,,,,,,,,2.49997500025
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Aralia nudicaulis","HF2","Forb/Herb","Forb",1.3,0,0,0,0.25,0.5,,,,,,,,,,1.29998700013
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Coptis trifolia","HF2","Forb/Herb","Forb",1.3,0,0,0,0.1,0.6,,,,,,,,,,1.29998700013
44.302194,-85.507209,"GRR.GJS.2022.3","s20220525.003","Gaultheria procumbens","SBE1","Shrub/Subshrub","Evergreen",1.3,0,0,0,0,0.2,,,,,,,,,,1.29998700013
